portfolio_name,universe_short,constraint_set,D_star,etf_code,sleeve_name,sleeve_key,weight,option_leg_annualized_pnl_contribution,attribution_method
B_default_D30_51030070_51005005_15991525,B,default,0.3,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.05,0.0005092307041307808,daily_weighted_option_leg_return
B_default_D30_51030070_51005005_15991525,B,default,0.3,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.25,-0.01382497164258364,daily_weighted_option_leg_return
B_default_D30_51030070_51005005_15991525,B,default,0.3,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.01153559962295983,daily_weighted_option_leg_return
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.79,0.002009016627484984,daily_weighted_option_leg_return
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,510500,510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.08,0.0,daily_weighted_option_leg_return
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.13,-0.007188985254143491,daily_weighted_option_leg_return
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.005179968626658506,daily_weighted_option_leg_return
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.74,0.0018818636763783376,daily_weighted_option_leg_return
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,510500,510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.07,0.0,daily_weighted_option_leg_return
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.19,-0.010506978448363563,daily_weighted_option_leg_return
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.008625114771985227,daily_weighted_option_leg_return
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.74,0.0018818636763783376,daily_weighted_option_leg_return
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,510500,510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.07,0.0,daily_weighted_option_leg_return
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.19,-0.010506978448363563,daily_weighted_option_leg_return
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.008625114771985227,daily_weighted_option_leg_return
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.74,0.0018818636763783376,daily_weighted_option_leg_return
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,510500,510500_ETF_BuyHold,510500__510500_ETF_BuyHold,0.07,0.0,daily_weighted_option_leg_return
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.19,-0.010506978448363563,daily_weighted_option_leg_return
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.008625114771985227,daily_weighted_option_leg_return
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.8,0.0020344472177063174,daily_weighted_option_leg_return
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.11,0.001120307549087718,daily_weighted_option_leg_return
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.09,-0.004976989791330109,daily_weighted_option_leg_return
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.0018222350245360862,daily_weighted_option_leg_return
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.79,0.002009016627484984,daily_weighted_option_leg_return
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.04,0.0004073845633046246,daily_weighted_option_leg_return
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.17,-0.009400980716956869,daily_weighted_option_leg_return
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.006984579526167261,daily_weighted_option_leg_return
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.77,0.0019581554470423273,daily_weighted_option_leg_return
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.0,0.0,daily_weighted_option_leg_return
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.23,-0.01271897391117695,daily_weighted_option_leg_return
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.010760818464134613,daily_weighted_option_leg_return
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.77,0.0019581554470423273,daily_weighted_option_leg_return
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.0,0.0,daily_weighted_option_leg_return
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.23,-0.01271897391117695,daily_weighted_option_leg_return
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.010760818464134613,daily_weighted_option_leg_return
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,510300,510300_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,0.77,0.0019581554470423273,daily_weighted_option_leg_return
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,0.0,0.0,daily_weighted_option_leg_return
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,159915,159915_DTE30_OTM5up_Q50_Hold,159915__159915_DTE30_OTM5up_Q50_Hold,0.23,-0.01271897391117695,daily_weighted_option_leg_return
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,-0.010760818464134613,daily_weighted_option_leg_return
