source_experiment,etf_code,sleeve_name,classification,recommendation_status,annualized_return_cagr,sharpe_daily_mean,max_drawdown,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,p99_short_call_mtm_loss,option_leg_positive,reason,caveat,source_file,beats_buyhold_return,beats_buyhold_sharpe,improves_buyhold_mdd,passes_execution_check,annualized_volatility,return_not_materially_worse,return_sacrifice_vs_buyhold
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_D40_Q70_TP80,Diagnostic Only,diagnostic_only,0.0771450007419882,0.6358028180512275,0.1732309375887918,0.0073346989980601,0.0692662300040944,0.9032532554770444,0.0424332692307692,True,TP80 close-and-wait is a path-management diagnostic.,Closed cycles wait to original expiry; no immediate rewrite.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_D40_Q100_TP80,Stress Test Only,diagnostic_only,0.0820064735789687,0.7195720791740003,0.1537717850515622,0.0104781414258002,0.0692662300040944,0.9032532554770444,0.060618956043956,True,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_D40_Q100_TouchK,Stress Test Only,diagnostic_only,0.0430982539283251,0.3434930492155457,0.2439311658089413,-0.0204578665986532,-0.1352376567209095,1.082143009966762,0.0038991773581337,False,Touch-K is retained as rejected appendix diagnostic.,Not a default portfolio-layer sleeve.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,False,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_ETF_BuyHold,Pure ETF Preferred,primary_for_portfolio_layer,0.1122243566609872,0.5952891106601638,0.3016216216216217,0.0,,,0.0,False,ETF-only baseline for comparison.,No option leg.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_DTE30_D40_Q100_Hold,Stress Test Only,diagnostic_only,0.0658835991718935,0.4907904855994632,0.2392536513631095,-0.0544788492446674,-0.3162674829828677,1.2907674829828713,0.096557597312784,False,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_DTE30_OTM5up_Q50_Hold,Pure ETF Preferred,rejected,0.1013730510425026,0.5841725021259542,0.2942111359246132,-0.0137910654942749,-0.5561363529575426,1.530636352957548,0.031160343805572,False,Covered-call sleeve does not improve the ETF baseline enough.,Keep as pure ETF or diagnostic reference.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_DTE30_OTM5up_Q100_Hold,Stress Test Only,diagnostic_only,0.0887290213705791,0.5472562720370053,0.289100603175152,-0.0275821309885499,-0.5561363529575426,1.530636352957548,0.062320687611144,False,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_DTE30_OTM5up_Q50_TP80,Diagnostic Only,diagnostic_only,0.1033115146868819,0.5901111914484156,0.294858026111669,-0.0117488118513725,-0.4737807515539128,1.4453173921288145,0.031160343805572,False,TP80 close-and-wait is a path-management diagnostic.,Closed cycles wait to original expiry; no immediate rewrite.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_DTE30_OTM5up_Q100_TP80,Stress Test Only,diagnostic_only,0.092635018836368,0.5608519694383945,0.2904031170336965,-0.023497623702745,-0.4737807515539128,1.4453173921288145,0.062320687611144,False,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_DTE30_OTM5up_Q50_TouchK,Stress Test Only,diagnostic_only,0.0941508905992627,0.5370297496008327,0.2942111359246147,-0.0186285142110095,-0.7512105542990525,1.6827991753281926,0.0042976271765107,False,Touch-K is retained as rejected appendix diagnostic.,Not a default portfolio-layer sleeve.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,False,True,True,,,
ver3_0_stepA_extension_510050_sleeve_clarification,510050,510050_ETF_BuyHold,Pure ETF Preferred,rejected,0.0290469756153712,0.256262492900394,0.215865215865215,0.0,,,0.0,False,ETF-only baseline for comparison.,No option leg.,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_classification_table.csv,,False,False,,0.164032485326511,True,
ver3_0_stepA_extension_510050_sleeve_clarification,510050,510050_DTE30_D40_Q50_Hold,Positive Carry Overlay,backup_for_portfolio_layer,0.0424599952282438,0.3855386265876245,0.1670521388287906,0.0079283418955365,0.1088299634742108,0.8656700365257932,0.0458122983870967,True,Net option leg is positive while Sharpe improves and max drawdown is lower than BuyHold.,This is structural risk compensation with path and sample risk.,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_classification_table.csv,,True,True,,0.1296177096808903,True,
ver3_0_stepA_extension_510050_sleeve_clarification,510050,510050_DTE30_D40_Q70_Hold,Positive Carry Overlay,primary_for_portfolio_layer,0.0472196362661978,0.4488270511954484,0.1469770109210938,0.0110996786537512,0.1088299634742108,0.865670036525793,0.0641372177419355,True,Net option leg is positive while Sharpe improves and max drawdown is lower than BuyHold.,This is structural risk compensation with path and sample risk.,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_classification_table.csv,,True,True,,0.1184142927579784,True,
ver3_0_stepA_extension_510050_sleeve_clarification,510050,510050_DTE30_D40_Q100_Hold,Stress / Diagnostic Only,diagnostic_only,0.0536911073985826,0.547012816058177,0.1194591306557047,0.0158566837910731,0.1088299634742108,0.8656700365257932,0.0916245967741935,True,"Q100 is retained as a stress diagnostic, not a default sleeve.",Do not promote Q100 by default.,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_classification_table.csv,,True,True,,0.1058656986402859,True,
ver3_0_stepA_extension_510050_sleeve_clarification,510050,510050_DTE30_ATM_Q100_Hold,Stress / Diagnostic Only,diagnostic_only,0.0614789756338669,0.6954509998250282,0.1032484031391877,0.0218350568567073,0.0921327892217356,0.8823672107782671,0.0916245967741935,True,"Q100 is retained as a stress diagnostic, not a default sleeve.",Do not promote Q100 by default.,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_classification_table.csv,,True,True,,0.0918756200623681,True,
ver3_0_stepA_extension_588000_sleeve_clarification,588000,588000_ETF_BuyHold,Growth Extension Sleeve,primary_for_short_sample_extension,0.2389742738605407,0.7847948282063195,0.3647502356267675,0.0,,,0.0,False,Pure ETF path best preserves 588000's tech-growth upside and has the strongest Sharpe in this sample.,Use only in short-sample extension universes.,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_classification_table.csv,,False,False,,0.3474005025640231,,0.0
ver3_0_stepA_extension_588000_sleeve_clarification,588000,588000_DTE30_OTM5up_Q50_Hold,Defensive Overlay,backup_defensive_overlay,0.1529110886220701,0.6684563408545622,0.3088489849705672,-0.0953500970982511,-1.1317479805688777,2.1062479805688774,0.1475785714285716,False,"Drawdown improves, but option leg is negative and upside give-up is material.",Use only when drawdown control is more important than growth capture.,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_classification_table.csv,,False,True,,0.2650168506961205,,0.0860631852384705
ver3_0_stepA_extension_588000_sleeve_clarification,588000,588000_DTE30_OTM5up_Q100_Hold,Stress / Diagnostic Only,diagnostic_only,0.0593721270912037,0.3728705453738862,0.2653729614950737,-0.1907001941965022,-1.1317479805688777,2.1062479805688774,0.2951571428571433,False,Q100/ATM full coverage is retained only as stress diagnostic.,Do not use as default sleeve.,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_classification_table.csv,,False,True,,0.2190204397932418,,0.1796021467693369
ver3_0_stepA_extension_588000_sleeve_clarification,588000,588000_DTE30_D40_Q50_Hold,Defensive Overlay,rejected,0.1369292555145311,0.6335178060602831,0.2895515450136243,-0.1124333705821529,-0.9065367775945764,1.8810367775945764,0.174217142857143,False,"Drawdown improves, but option leg is negative and upside give-up is material.",Use only when drawdown control is more important than growth capture.,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_classification_table.csv,,False,True,,0.2526283935807551,,0.1020450183460095
ver3_0_stepA_extension_588000_sleeve_clarification,588000,588000_DTE30_D40_Q100_Hold,Stress / Diagnostic Only,diagnostic_only,0.0276008820567077,0.2359850928289436,0.2432295247197696,-0.2248667411643059,-0.9065367775945764,1.8810367775945764,0.3484342857142861,False,Q100/ATM full coverage is retained only as stress diagnostic.,Do not use as default sleeve.,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_classification_table.csv,,False,True,,0.2010764875114373,,0.2113733918038329
ver3_0_stepA_extension_588000_sleeve_clarification,588000,588000_DTE30_ATM_Q100_Hold,Stress / Diagnostic Only,diagnostic_only,0.0529936291070554,0.3793124653597281,0.1921378274057315,-0.2048820349678159,-0.5809554618717575,1.555455461871758,0.3484342857142861,False,Q100/ATM full coverage is retained only as stress diagnostic.,Do not use as default sleeve.,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_classification_table.csv,,False,True,,0.177859243160014,,0.1859806447534853
